id,fecha,vehicle_id,monto,tipo,motivo,categoria_real,comentarios,texto_normalizado,sugerencia_tipo_gasto,sugerencia_subtipo_gasto
95756f61-0177-41ce-9de2-09a7573112af,2024-05-23,51,100,OTROS GASTOS,OTROS PROVISIONALES,GASTOS_CAJA_UNIDAD,VERSA 51  DUPLICADO LLAVE · Excel GASTOS fila 2675 [origen gastos_caja id=2661],otros gastos | otros provisionales | gastos_provisionales | otros provisionales | versa 51 duplicado llave · excel gastos fila 2675 [origen gastos_caja id=2661] | gastos_caja_unidad | efectivo | traslado desde gastos_caja (script mover_gastos_caja_a_vehiculo),operativo_vehiculo,motor
b68abfbe-2bc8-45b3-889f-a850b2b52878,2024-06-03,54,20,OTROS GASTOS,OTROS PROVISIONALES,GASTOS_CAJA_UNIDAD,VERSA 54 GAS ENTREGA · Excel GASTOS fila 2732 [origen gastos_caja id=2718],otros gastos | otros provisionales | gastos_provisionales | otros provisionales | versa 54 gas entrega · excel gastos fila 2732 [origen gastos_caja id=2718] | gastos_caja_unidad | efectivo | traslado desde gastos_caja (script mover_gastos_caja_a_vehiculo),operativo_vehiculo,motor
a7102033-62d6-4fa8-8bbc-2fb0a6ade7cf,2024-06-03,54,35,OTROS GASTOS,OTROS PROVISIONALES,GASTOS_CAJA_UNIDAD,VERSA 54 EXTINTOR · Excel GASTOS fila 2738 [origen gastos_caja id=2724],otros gastos | otros provisionales | gastos_provisionales | otros provisionales | versa 54 extintor · excel gastos fila 2738 [origen gastos_caja id=2724] | gastos_caja_unidad | efectivo | traslado desde gastos_caja (script mover_gastos_caja_a_vehiculo),operativo_vehiculo,motor
06986f41-04d8-4f8b-90db-981cb1413d89,2024-07-08,23,20,OTROS GASTOS,OTROS PROVISIONALES,GASTOS_CAJA_UNIDAD,VERSA 23 REGULACION DE FRENOS · Excel GASTOS fila 2950 [origen gastos_caja id=2935],otros gastos | otros provisionales | gastos_provisionales | otros provisionales | versa 23 regulacion de frenos · excel gastos fila 2950 [origen gastos_caja id=2935] | gastos_caja_unidad | efectivo | traslado desde gastos_caja (script mover_gastos_caja_a_vehiculo),operativo_vehiculo,frenos
ce7ab030-e4a6-4af8-81a2-2a99cc151af1,2024-07-08,15,80,OTROS GASTOS,OTROS PROVISIONALES,GASTOS_CAJA_UNIDAD,YARIS 15 ARREGLO ELECTRONICO VELOCIMETRO · Excel GASTOS fila 2951 [origen gastos_caja id=2936],otros gastos | otros provisionales | gastos_provisionales | otros provisionales | yaris 15 arreglo electronico velocimetro · excel gastos fila 2951 [origen gastos_caja id=2936] | gastos_caja_unidad | efectivo | traslado desde gastos_caja (script mover_gastos_caja_a_vehiculo),operativo_vehiculo,motor
5d655408-b1c0-4dac-9a7b-24c2411923a3,2024-07-08,44,100,OTROS GASTOS,OTROS PROVISIONALES,GASTOS_CAJA_UNIDAD,VERSA 44 BOCINAS DE ARTICULACION Y MOD · Excel GASTOS fila 2954 [origen gastos_caja id=2939],otros gastos | otros provisionales | gastos_provisionales | otros provisionales | versa 44 bocinas de articulacion y mod · excel gastos fila 2954 [origen gastos_caja id=2939] | gastos_caja_unidad | efectivo | traslado desde gastos_caja (script mover_gastos_caja_a_vehiculo),operativo_vehiculo,suspension
1861005e-cabc-4116-96b3-adc828ddeecf,2024-06-10,32,100,OTROS GASTOS,OTROS PROVISIONALES,GASTOS_CAJA_UNIDAD,VERSA 32 CUOTA 2/4 VENTILADOR COMPLETO · Excel GASTOS fila 2813 [origen gastos_caja id=2798],otros gastos | otros provisionales | gastos_provisionales | otros provisionales | versa 32 cuota 2/4 ventilador completo · excel gastos fila 2813 [origen gastos_caja id=2798] | gastos_caja_unidad | efectivo | traslado desde gastos_caja (script mover_gastos_caja_a_vehiculo),operativo_vehiculo,motor
32446c42-a257-46f4-9264-b8437f4dfc1f,2024-06-10,13,100,OTROS GASTOS,OTROS PROVISIONALES,GASTOS_CAJA_UNIDAD,RIO 13 CUOTA 2/6 ARREGLO CAJA 4 RODAJES MAS 1 RETEN · Excel GASTOS fila 2814 [origen gastos_caja id=2799],otros gastos | otros provisionales | gastos_provisionales | otros provisionales | rio 13 cuota 2/6 arreglo caja 4 rodajes mas 1 reten · excel gastos fila 2814 [origen gastos_caja id=2799] | gastos_caja_unidad | efectivo | traslado desde gastos_caja (script mover_gastos_caja_a_vehiculo),operativo_vehiculo,motor
a9292d2d-8b7b-4618-9ad8-bca889cb42c3,2024-06-10,11,100,OTROS GASTOS,OTROS PROVISIONALES,GASTOS_CAJA_UNIDAD,RIO 11 CUOTA 2/4 SOPORTE DE MOTOR EMPAQUE · Excel GASTOS fila 2815 [origen gastos_caja id=2800],otros gastos | otros provisionales | gastos_provisionales | otros provisionales | rio 11 cuota 2/4 soporte de motor empaque · excel gastos fila 2815 [origen gastos_caja id=2800] | gastos_caja_unidad | efectivo | traslado desde gastos_caja (script mover_gastos_caja_a_vehiculo),operativo_vehiculo,motor
ebabec0d-40db-4b22-a29c-66dc5ba93344,2024-06-10,19,200,OTROS GASTOS,OTROS PROVISIONALES,GASTOS_CAJA_UNIDAD,VERSA 19 CUOTA 2/5 KIT  MAS SOPORTE CAJA · Excel GASTOS fila 2816 [origen gastos_caja id=2801],otros gastos | otros provisionales | gastos_provisionales | otros provisionales | versa 19 cuota 2/5 kit mas soporte caja · excel gastos fila 2816 [origen gastos_caja id=2801] | gastos_caja_unidad | efectivo | traslado desde gastos_caja (script mover_gastos_caja_a_vehiculo),operativo_vehiculo,motor
aa6e860e-3c45-4d0a-a59d-4ca690b21366,2024-06-10,20,125,OTROS GASTOS,OTROS PROVISIONALES,GASTOS_CAJA_UNIDAD,VERSA 20 CUOTA 2/2 SOPORTE DE MOTOR · Excel GASTOS fila 2817 [origen gastos_caja id=2802],otros gastos | otros provisionales | gastos_provisionales | otros provisionales | versa 20 cuota 2/2 soporte de motor · excel gastos fila 2817 [origen gastos_caja id=2802] | gastos_caja_unidad | efectivo | traslado desde gastos_caja (script mover_gastos_caja_a_vehiculo),operativo_vehiculo,motor
